1	Infinity
1501	62.5
3001	31.25
4501	31.25
6001	31.25
7501	Infinity
9001	62.5
10501	62.5
12001	Infinity
13501	62.5
15001	62.5
16501	62.5
18001	62.5
19501	62.5
21001	Infinity
22501	Infinity
24001	62.5
25501	Infinity
27001	Infinity
28501	62.5
30001	62.5
31501	Infinity
33001	Infinity
34501	62.5
36001	Infinity
37501	62.5
39001	Infinity
40501	62.5
42001	Infinity
43501	Infinity
45001	62.5
46501	62.5
48001	Infinity
49501	62.5
51001	Infinity
52501	62.5
54001	Infinity
55501	62.5
57001	Infinity
58501	62.5
60001	62.5
61501	Infinity
63001	62.5
64501	62.5
